field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1776813630.8131957,0.0,0.0,0.0,1.0,0.0051923545246831,-0.0439822971502571,-0.0013744467859455,-0.2021935097,-0.1028913717999999,10.0390872183
1776813630.9147198,0.0003100365314709042,-0.00220163360891485,-2.2573880272997773e-05,0.9999975280855555,0.0061086523819801,-0.043371431912059,-0.0004581489286485,-0.191425808,-0.1040877831,10.0450692748
1776813631.0156782,0.0005796920703815688,-0.0044295389544251156,-4.3814464539793904e-05,0.9999900205612291,0.0053450708342326,-0.0441350134598066,-0.0004581489286485,-0.1998006870999999,-0.107677017,10.0570333878
1776813631.1165578,0.0008258691433227703,-0.006624891179701589,-7.171908671423323e-05,0.9999777115583066,0.0048869219055841,-0.0435241482216085,-0.000610865238198,-0.2069791549,-0.1040877831,10.0474620974
1776813631.2174475,0.0011259179137149127,-0.008805032999815937,-9.038107104133765e-05,0.9999605969906943,0.0059559360724306,-0.0432187156025095,-0.0004581489286485,-0.1998006870999999,-0.1052841944,10.061819033
1776813631.3182752,0.0013455242318686845,-0.01104576882415993,-0.00039332984638178306,0.9999380110023104,0.0044287729769356,-0.0444404460789056,-0.0061086523819801,-0.1770688724,-0.1016949604999999,10.0546405652
1776813631.419182,0.0016141226832181688,-0.013287890058659843,-0.00039441268815306965,0.9999103314919713,0.0053450708342326,-0.0444404460789056,-0.0001527163095495,-0.2009970984,-0.1064806057,10.0701939121
1776813631.5199745,0.0018356219436459285,-0.01545819693183827,-0.000433606734680135,0.9998787359599642,0.0044287729769356,-0.04306599929296,-0.000916297857297,-0.2105683888,-0.1088734283,10.059426210400002
1776813631.6207943,0.0020654539010264194,-0.017659741514831823,-0.0004254540861465312,0.9998418307005527,0.0045814892864851,-0.0436768645311581,0.0,-0.1986042757999999,-0.1088734283,10.064211855599998
1776813631.7216425,0.0023002772666621198,-0.019846730704456833,-0.0005547451067502185,0.9998002341781622,0.0047342055960346,-0.043371431912059,-0.002748893571891,-0.1974078645,-0.1088734283,10.0689975008
1776813631.8226292,0.0025467417578814633,-0.02203621059076927,-0.0004902515891170615,0.9997538092863649,0.0048869219055841,-0.043371431912059,0.0010690141668465,-0.2081755662,-0.1004985492,10.0701939121
1776813631.9235487,0.0028210492068673813,-0.024255272572033904,-0.0005471496253792922,0.9997016675294267,0.0054977871437821,-0.0439822971502571,-0.0013744467859455,-0.1974078645,-0.1004985492,10.0689975008
1776813632.0243833,0.0030879044745795695,-0.026456888299746368,-0.0005722247429269618,0.999645022228538,0.0053450708342326,-0.0436768645311581,-0.0007635815477475,-0.1998006870999999,-0.1028913717999999,10.0689975008
1776813632.1252203,0.0033251112632040687,-0.028627489822015618,-0.0005509136475733316,0.9995844671440881,0.0047342055960346,-0.04306599929296,0.0001527163095495,-0.1950150419,-0.1112662509,10.0713903234
1776813632.2260413,0.003577627956390789,-0.030836075564507136,-0.0005279550788868026,0.9995179129387428,0.0050396382151336,-0.0438295808407076,0.0001527163095495,-0.2021935097,-0.1064806057,10.0821580251
1776813632.3275907,0.0037444149042919588,-0.03303742879097731,-0.0005763512976497718,0.9994469347969842,0.003359758810089,-0.043371431912059,-0.001221730476396,-0.1878365741,-0.1124626622,10.0713903234
1776813632.4285512,0.0038493662610489428,-0.035233421306343604,-0.0005950358094327108,0.9993715196736513,0.002138028333693,-0.0435241482216085,-0.000610865238198,-0.1974078645,-0.0933200814,10.0785687912
1776813632.5293794,0.004538426933840157,-0.037434451087335244,-0.0005989740090199558,0.999288599846357,0.0137444678594553,-0.0436768645311581,-0.0007635815477475,-0.2261217357,-0.1028913717999999,10.0749795573
1776813632.6302128,0.004727791240066262,-0.039604283711688615,-0.0006044500324112906,0.999204074922552,0.0038179077387375,-0.04306599929296,-0.0004581489286485,-0.2165504453,-0.1770688724,10.085747259
1776813632.7310374,0.004033370212837678,-0.04177309434266077,-0.0006229921550883531,0.9991187879299138,-0.0137444678594553,-0.04306599929296,0.0,-0.1818545176,-0.1423729447,10.0773723799
1776813632.8319397,0.0037066311010863023,-0.04394372164904384,-0.0006590921726292851,0.9990269144577735,-0.0064140850010791,-0.04306599929296,-0.000610865238198,-0.2105683888,-0.0574277424,10.0893364929
1776813632.9329069,0.0036649940460341352,-0.04602326844323016,-0.0006761026058243242,0.9989334159320687,-0.0007635815477475,-0.041233403578366,-0.0004581489286485,-0.2225325018,-0.0562313311,10.0833544364
