timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw
1776813861.2327569,-0.1854437515,-0.0741775006,10.0989077833,0.0039706240482871,-0.04108068726881653,0.0,0.0,0.0,0.0
1776813861.3341608,-0.1782652837,-0.06340979890000001,10.0929257268,0.004123340357836604,-0.04169155250701455,0.00015271630954950385,0.00041812300626151714,-0.004227688174422007,1.5486037268945082e-05
1776813861.4351072,-0.18185451760000002,-0.071784678,10.0989077833,0.004734205596034618,-0.04230241774521256,0.0,0.0008960241429843339,-0.008497966073525886,1.5486037268945082e-05
1776813861.5359797,-0.1806581063,-0.0669990328,10.097711372000001,0.005039638215133627,-0.04184426881656405,-0.0006108652381980154,0.0014043851326600671,-0.012718902775681972,-4.613347663114379e-05
1776813861.6368072,-0.1806581063,-0.0646062102,10.0953185494,0.004428772976935611,-0.04169155250701455,0.00015271630954950385,0.00185092704300301,-0.016922555931668987,-3.0735479722766444e-05
1776813861.7377553,-0.18185451760000002,-0.0669990328,10.0929257268,0.0039706240482871,-0.04337143191205909,-0.0022907446432425577,0.002251753977915953,-0.02130081937456421,-0.00026198178832638735
1776813861.8387158,-0.1926222193,-0.0646062102,10.0965149607,0.0039706240482871,-0.04153883619746504,-0.0007635815477475192,0.0026526301396971705,-0.02549460075935233,-0.0003390733578996984
1776813861.9395726,-0.17587246110000002,-0.062213387599999996,10.0929257268,0.003665191429188092,-0.04108068726881653,-0.00015271630954950385,0.0030222895490153467,-0.029637866638793555,-0.0003544758332879557
1776813862.0403707,-0.1866401628,-0.0741775006,10.1024970172,0.004123340357836604,-0.04214970143566306,0.00015271630954950385,0.003437914546584775,-0.033886477725058824,-0.0003390823148594584
1776813862.141215,-0.1830509289,-0.0658026215,10.094122138100001,0.001832595714594046,-0.04153883619746504,-0.0035124751196385882,0.003622721531150813,-0.038075436041889024,-0.0006932957019443652
1776813862.2421675,-0.12083754129999999,0.0179461695,10.109675485,-0.06505714786808864,-0.049785516913138254,0.004734205596034618,-0.0029449528281816125,-0.043101402805134026,-0.00021536634715726386
1776813862.3430169,-0.2380858487,-0.0251246373,10.0917293155,-0.2464841236128992,-0.03268129024359382,0.0003054326190990077,-0.02780272634659875,-0.04639729099159082,-0.00018456365382589195
1776813862.4438436,-0.24765713909999998,-0.8937192411,10.0319087505,-0.03451388595818787,-0.04260785036431157,0.014660765716752368,-0.03128264896163708,-0.050693301653518666,0.0012936335631815409
1776813862.5446434,-0.2380858487,-0.20458633229999998,10.1156575415,0.11682797680537042,-0.04169155250701455,-0.0022907446432425577,-0.019506412386115005,-0.054895801764783404,0.0010627269636615002
1776813862.6454368,-0.1698904046,-0.6999006105000001,10.0115697584,-0.20845776253507273,-0.0438295808407076,-0.000916297857297023,-0.04051757103694295,-0.05931353255803441,0.0009703702223391795
1776813862.7471108,-0.1292124204,-0.39720855159999996,10.090532904199998,0.22693643599056268,-0.047342055960346185,-0.005039638215133627,-0.017444017712947495,-0.06412699253814114,0.0004579696438116895
1776813862.8480515,-0.11246266220000001,-0.10648060570000001,10.0689975008,0.09361509775384584,-0.044898595007554123,-0.001069014166846527,-0.007994443808282445,-0.06865908834233612,0.0003500626008546661
1776813862.9488418,-0.1423729447,-0.46540399569999996,10.0450692748,-0.139124557999598,-0.04321871560250958,-0.000916297857297023,-0.022016844490622127,-0.07301511402082364,0.0002577086995439766
1776813863.0496342,-0.17587246110000002,-0.4462614149,10.1036934285,-0.08689558013366767,-0.04550946024575214,0.0,-0.03077525925593922,-0.0776021221052955,0.0002577086995439766
1776813863.1504362,-0.1950150419,-0.34815568830000004,10.0965149607,0.009773843811168246,-0.040317105721069016,-0.0003054326190990077,-0.029790036792260128,-0.08166616476797176,0.000226920497554005
1776813863.2513433,-0.17228322719999997,-0.4199403663,10.0725867347,0.06261368691529658,-0.04046982203061852,-0.003817907738737596,-0.023471872018892354,-0.08574985663368508,-0.00015833345204159096
1776813863.3522289,-0.2105683888,-0.3720839143,10.0989077833,0.030085112981252254,-0.039706240482871,0.0003054326190990077,-0.020436716452569077,-0.08975564570598991,-0.0001275196899469384
1776813863.4542313,-0.0945164927,-0.1591227029,10.1276216545,-0.00015271630954950385,-0.04153883619746504,0.0004581489286485115,-0.0204522938799559,-0.09399270595520534,-8.07874077864741e-05
1776813863.5554876,-0.040677984199999996,-0.0143569356,10.1491570579,0.036193765363232405,-0.04413501345980661,0.0007635815477475192,-0.016787444562938153,-0.09846165723207509,-3.4699116468591893e-06
1776813863.6566465,-0.17587246110000002,-0.35772697870000003,10.0821580251,0.059253928105207486,-0.030543261909900768,-0.0004581489286485115,-0.010793384902578154,-0.10155137870648746,-4.981573376304476e-05
1776813863.7576988,-0.3960121403,-0.13758729949999998,10.057033387799999,0.11301006906663283,-0.024587325837470118,-0.002901609881440573,0.0006265407188069255,-0.10403598414573476,-0.00034303004025806714
1776813863.8600466,-0.34815568830000004,-0.12323036389999999,10.106086251099999,-0.1482875365725682,-0.04459316238845512,-0.000916297857297023,-0.014550369949756664,-0.10859999847654894,-0.00043681115664465987
1776813863.9617257,-0.2021935097,-0.40319060809999996,10.086943670299998,0.10186177846951905,-0.05131268000863329,-0.001069014166846527,-0.004193157346847767,-0.1138174249151957,-0.0005455075407831341
1776813864.0638227,-0.1950150419,-0.2344966148,10.097711372000001,0.09605855870663792,-0.04612032548395016,-0.0012217304763960308,0.005614136631058635,-0.1185261733751762,-0.0006702425993256638
1776813864.165629,-0.2009970984,-0.047856452,10.1312108884,-0.18860464229363724,-0.037720928458727446,-0.0007635815477475192,-0.013586978473434711,-0.12236639639607487,-0.0007479799074410215
