field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1776815480.103573,0.0,0.0,0.0,1.0,0.002138028333693,-0.039706240482871,0.0,-0.1627119367999999,0.0059820565,10.1084790737
1776815480.2050972,-0.0075053564431715476,-0.002027625766299039,-0.019108118132743414,0.9997871964472429,-0.1470658060961721,-0.042760566673861,-0.3761402704204279,-0.4618147618,0.5048855686,10.4518491168
1776815480.3061728,-0.014724786535107766,-0.001336216216316583,-0.059456952925878215,0.9981213683397869,-0.14156801895239,-0.0007635815477475,-0.7988590152534546,-0.023928226,0.8997012976000001,9.2219383004
1776815480.4071307,-0.042390826512362915,-0.003446917561695172,-0.11176887520368192,0.9928236777608727,-0.5375614096142535,-0.1178969909722169,-1.036027443983834,-0.1184447186999999,0.3194418170999999,10.9579310967
1776815480.508145,-0.027361012428407175,-0.004836215917268564,-0.20039621631160073,0.979320857789973,0.3150537466006264,-0.0407752546497175,-1.7782287083944228,-0.0334995164,0.3493520996,10.4183496004
1776815480.6090436,-0.04393296909660452,-0.005955595584944999,-0.17249958668109877,0.9840113402306069,-0.3255911719595422,-0.0638354173916926,0.5670356573573078,-2.189432679,-0.5324030285,9.7328059255
1776815480.709981,-0.03711775860270622,-0.009911766114925648,-0.22559735697472813,0.9734628197393117,0.1649336143134641,-0.0908662041819547,-1.0728320745852644,-0.4534398827,-0.191425808,10.4147603665
1776815480.811016,-0.038580180534048374,-0.013348192949216952,-0.23286655163088418,0.9716514624835859,-0.0097738438111682,-0.0778853178702469,-0.1455386430006771,-0.5910271822000001,-0.2500499617,9.9230353222
1776815480.9120188,-0.04833980043037369,0.002460013085365354,-0.2575408418824739,0.9650543646823416,-0.2559525348049684,0.2353358330157854,-0.5117523533003874,0.155533469,-0.8111668613999999,10.3322079868
1776815481.0129836,-0.05365876433582695,0.0008282541090776311,-0.24050561675241144,0.9691630922170043,-0.0980438707307814,-0.0401643894115195,0.3506366467256608,-1.4225330357,-0.3888336725,9.9840522985
1776815481.1138787,-0.06167060596990531,-0.0007126301164095059,-0.19429823549181532,0.9790017488249901,-0.160352125026979,-0.0114537232162127,0.9407324668249436,-1.3902299306,-0.3720839143,9.8955178623
1776815481.2147725,-0.07396849341793982,0.00557167812318606,-0.23648801445162812,0.9687987600142242,-0.2548835206381219,0.0116064395257622,-0.8599455390732561,1.5936198516,0.3194418170999999,9.3547399547
1776815481.315674,-0.0875753903875971,0.005433804693912461,-0.18737814397762584,0.9783611071197119,-0.2755002224273049,0.0198531202414355,0.9964739198105124,-1.4129617452999998,-0.6340979889999999,9.8596255233
1776815481.4166334,-0.09090426440125102,0.001157169597175066,-0.2026858151087457,0.9750146337496142,-0.0442877297693561,-0.1229366291873505,-0.3000875482647751,1.0612168231,0.6340979889999999,10.5619189564
1776815481.5177882,-0.0935284996365834,0.0036870093582105114,-0.22670170707355883,0.9694561164527543,-0.0531452757232273,-0.0065668013106286,-0.4879286090106647,0.6352944003,1.0492527101,11.5238336416
1776815481.6190276,-0.09882807262592187,0.012306280025029237,-0.24536598450411198,0.9643013539248604,-0.1365283807372564,0.1036943741841131,-0.3920227666135763,1.5254244075,-0.2679961312,9.6885387074
1776815481.7202702,-0.09297578394163737,0.001647427626260533,-0.20520818853096712,0.9742907106929088,0.1482875365725682,-0.100640047993123,0.8286386956156078,-0.8434699665000001,-0.0741775006,10.2879407687
1776815481.8215487,-0.11238827704532192,0.0023413476068121705,-0.1780478388932418,0.9775798485748437,-0.3906483198276308,-0.0048869219055841,0.5491678491400158,-0.0526420972,0.1603191142,8.9503529353
1776815481.9227598,-0.11492775004200123,0.001471679130769385,-0.16043425558504923,0.9803317275625076,-0.0529925594136778,0.0143553330976533,0.3538436892262004,-1.2263215825,-0.7070790783,10.3334043981
1776815482.023977,-0.11300265535734923,-0.0009956581466361355,-0.13790243886269674,0.9839778076271656,0.0375682121491779,0.0085521133347722,0.4523457088856303,-1.3316057769,-0.1663011706999999,9.9924271776
1776815482.1253188,-0.11478043638069013,-0.0041463794969421024,-0.11052608971157404,0.9872143852549936,-0.0364991979823314,-0.0042760566673861,0.5487097002113672,-0.6376872229,-0.1387837108,10.090532904199998
1776815482.231838,-0.11938416842658299,-0.007832782902921581,-0.09614445531574531,0.9881509558529644,-0.0846048354904251,-0.0458148928648511,0.279165413856493,-0.7154539574000001,-0.0993021378999999,9.2889373332
1776815482.337849,-0.12439093973897121,-0.014309174398110271,-0.048111150290155225,0.9909628947930684,-0.1044579557318606,-0.0178678082172919,0.9188940345593646,-1.6594224731,-0.1722832271999999,8.913264185
1776815482.4626606,-0.1171103063673174,-0.014072629619405195,-0.06227960612031443,0.9910642703173425,0.121867615020504,-0.0172569429790939,-0.2287690317051567,1.7180466268,0.9702895643,9.8596255233
1776815482.5642965,-0.11445316757112682,-0.019248843472934794,-0.027748202088855208,0.9928544665451859,0.0419969851261135,-0.020616701789183,0.6866125277345693,-1.3459627125,-0.4366901245,11.078768638
1776815482.6655188,-0.11355674678953963,-0.020243833477705066,-0.03848996240370544,0.9925792538930405,0.0232128790515245,-0.04306599929296,-0.2093740603923697,0.346959277,-0.5754738353000001,9.8907322171
1776815482.767048,-0.13873871989738773,-0.007167912154387751,-0.12429141358237542,0.9824723065543761,-0.478002048889947,0.0035124751196385,-1.7040085819533637,0.3541377448,-1.0444670649,9.5389872949
1776815482.8686562,-0.15268330126302207,-0.005557946934548398,-0.1282144618519123,0.9799071234118683,-0.2774855344514484,-0.0145080494072028,-0.0748309916792568,-0.4043870194,0.0011964113,10.025926694
1776815482.96987,-0.16698420130559985,-0.014089267886647956,-0.09766938907907506,0.9810088987780231,-0.2837469031429781,-0.1010981969217715,0.6342308335590894,0.0334995164,-0.7716852885,9.8644111685
1776815483.0713708,-0.17171600909320173,-5.213456976718711e-05,-0.10899480301818712,0.9790984334672979,-0.1149953810907764,0.2241875424186716,-0.2645046481397406,0.3098705267,-0.2524427843,10.972288032300002
1776815483.1724048,-0.17435555096099084,0.012648665509174673,-0.1524225755458099,0.9727319834229304,-0.0707076513214202,0.0890336084673607,-0.8965974533651371,0.6544369810999999,0.071784678,10.2352986715
1776815483.280228,-0.13999598267580693,0.006162533280906952,-0.13758284650890856,0.9805274643602305,0.6524040743954804,0.0195476876223364,0.2849686336193742,-1.0731809361,-0.6544369810999999,10.2233345585
1776815483.382266,-0.1441949404624482,0.014661215785654871,-0.2042580202341506,0.9681278474802503,-0.0917825020392518,-0.04001167310197,-1.3361149922486089,-0.7968099258,-0.801595571,9.2805624541
1776815483.4883993,-0.1448300316193754,0.0019356652476675631,-0.15420978946545255,0.9773637275723918,0.0135917515499058,-0.0977384381116824,0.9833403171892552,-0.2727817764,-0.8781658942,9.858429112
1776815483.5909135,-0.14542383713468243,-0.002268022197604233,-0.14434263057126223,0.9787808583478248,-0.0039706240482871,-0.0540615735805243,0.2044871384867856,0.3302095188,-0.5946164161,9.8787681041
1776815483.6927578,-0.14683443531473345,-0.00042139106092200715,-0.1700897111336328,0.9744275043336238,-0.0210748507178315,-0.042760566673861,-0.5115996369908379,0.5946164161,0.9678967417,10.7258273045
1776815483.7948282,-0.14969795917423429,0.007339432178903628,-0.18943551675228315,0.970386953100234,-0.0736092612028608,0.0813977929898855,-0.4017966104247445,0.4019941968,-0.9032905315,10.2436735506
1776815483.896224,-0.1627552585332932,0.007679630095393356,-0.2217375319789384,0.9613970126920762,-0.241291769088216,-0.1475239550248207,-0.6391177554646735,0.2356930260999999,0.4833501651999999,9.6514499571
1776815483.997255,-0.16798085056769288,-0.001747319065989069,-0.1829516241970639,0.9686630394116894,-0.0899499063246577,-0.0737619775124103,0.8069529796595782,-1.0636096457,-0.4103690759,9.5318088271
1776815484.0987773,-0.14887625855536873,-0.0030426965224063934,-0.19951043165210727,0.9685154564065652,0.3901901708989823,-0.0044287729769356,-0.337044895175755,0.7980063370999999,-0.7633104094,10.8107725068
1776815484.199824,-0.1476190410561182,-0.0068854735035898396,-0.17919461580901455,0.9726512728811716,0.0253509073852176,-0.0099265601207177,0.4155410782841999,-0.1782652837,0.6735795618999999,10.1276216545
1776815484.301193,-0.14944193468978478,-0.023811475499960513,-0.13779459989527043,0.97883235031868,-0.0183259571459404,-0.2127338192024588,0.8671232056220828,-0.1399801221,-0.3744767369,9.9134640318
1776815484.4037354,-0.18242927451130722,-0.039842780468948485,-0.06076003112061418,0.9805306375957883,-0.696233655236188,-0.122478480258702,1.574657867764934,0.1172483074,-0.4558327053,10.157531937
1776815484.5050583,-0.15328273235633366,-0.06209607377230544,0.007021203883486447,0.9862044333095787,0.515264828420026,-0.198836635033454,1.3666582541585095,0.8721838377000001,0.1567298802999999,10.1515498805
1776815484.6065056,-0.1542458879934342,-0.08498431257649838,0.13451053621734266,0.9751373176632817,-0.2159408617029984,-0.0389426589351234,2.5819746455534616,-0.5934200048,-0.0526420972,9.4827559638
1776815484.7082434,-0.16631555089014646,-0.11027444566642554,0.25472347447252286,0.9462001034230105,-0.4993823322268775,0.0029016098814405,2.5065327886360067,-0.7872386353999999,-0.2189432679,10.6516498039
1776815484.8129632,-0.14508388788005033,-0.1327674686328345,0.3655717543583878,0.9097696176317216,0.0963639913257369,-0.1111774733520388,2.289675629075711,-1.6917255782,0.0047856452,10.0486585087
1776815484.91577,-0.1458622563728858,-0.1337236751964784,0.37611285536068095,0.9051968299161197,-0.0363464816727819,0.0306959782194502,0.2246456913473201,0.7010970218,-0.2548356069,11.1397856143
1776815485.0190337,-0.1755723518001085,-0.1434782215552863,0.35680516068021706,0.9062441318622015,-0.5969680540290104,-0.023365595361074,-0.3159700444579235,-0.3218346397,0.8925228298,10.393224963100002
1776815485.1200497,-0.1483461732120172,-0.16325633949479829,0.4633817124741989,0.8582646264716892,0.1562287846691424,-0.0798706298943905,2.381610847424513,-0.3756731482,-0.3122633493,9.5485585853
1776815485.2229657,-0.15683360056526577,-0.175829782978914,0.5123440153599204,0.8258272937341055,-0.3524692424402548,0.1279762674024842,1.166905321267759,-0.47856452,0.2943171798,10.4159567778
1776815485.3241005,-0.15269166377958873,-0.17826602160469512,0.5350213536042738,0.8115778659752286,0.0091629785729702,0.0372627795300789,0.5355760975901099,-0.2033899209999999,-0.2464607277999999,10.4303137134
1776815485.4255395,-0.17731271016141378,-0.2048098124865407,0.5287831875044775,0.8043640246412362,-0.7267769171460887,-0.159130394550583,0.0670424598922321,-0.5036891573,-0.1938186305999999,8.7637127725
1776815485.5268333,-0.16490725318758293,-0.2026044393645975,0.533040043477903,0.8047517325516976,0.2280054501574092,-0.08307767239493,0.0726929633455638,-0.4283152454,-0.2488535503999999,9.7579305628
1776815485.629361,-0.1540249033954878,-0.20535517750078686,0.5487053800712851,0.7956305587950087,0.1171334094244694,-0.0736092612028608,0.3746131073249329,-0.1830509289,-0.0287138712,9.4803631412
